method,seed,precision,recall,f1,fpr,abstentions,tp,fp,fn,tn
ga,0,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
ga,1,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
ga,2,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
ga,3,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
ga,4,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
ga,5,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
ga,6,0.631578947368421,0.6666666666666666,0.6486486486486487,0.16666666666666666,14,24,14,12,70
ga,7,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
ga,8,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
ga,9,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
ga,10,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
ga,11,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
ga,12,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
ga,13,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
ga,14,0.631578947368421,0.6666666666666666,0.6486486486486487,0.16666666666666666,14,24,14,12,70
ga,15,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
ga,16,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
ga,17,0.631578947368421,0.6666666666666666,0.6486486486486487,0.16666666666666666,14,24,14,12,70
ga,18,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
ga,19,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
nsga2,0,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
nsga2,1,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
nsga2,2,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
nsga2,3,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
nsga2,4,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
nsga2,5,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
nsga2,6,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
nsga2,7,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
nsga2,8,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
nsga2,9,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
nsga2,10,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
nsga2,11,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
nsga2,12,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
nsga2,13,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
nsga2,14,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
nsga2,15,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
nsga2,16,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
nsga2,17,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
nsga2,18,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
nsga2,19,0.574468085106383,0.75,0.6506024096385542,0.23809523809523808,14,27,20,9,64
