method,seed,precision,recall,f1,fpr,abstentions,tp,fp,fn,tn
ga,0,0.6153846153846154,0.6666666666666666,0.64,0.17857142857142858,14,24,15,12,69
ga,1,0.6153846153846154,0.6666666666666666,0.64,0.17857142857142858,14,24,15,12,69
ga,2,0.6153846153846154,0.6666666666666666,0.64,0.17857142857142858,14,24,15,12,69
ga,3,0.6153846153846154,0.6666666666666666,0.64,0.17857142857142858,14,24,15,12,69
ga,4,0.5625,0.75,0.6428571428571429,0.25,14,27,21,9,63
ga,5,0.6153846153846154,0.6666666666666666,0.64,0.17857142857142858,14,24,15,12,69
ga,6,0.6153846153846154,0.6666666666666666,0.64,0.17857142857142858,14,24,15,12,69
ga,7,0.6153846153846154,0.6666666666666666,0.64,0.17857142857142858,14,24,15,12,69
ga,8,0.6153846153846154,0.6666666666666666,0.64,0.17857142857142858,14,24,15,12,69
ga,9,0.6153846153846154,0.6666666666666666,0.64,0.17857142857142858,14,24,15,12,69
ga,10,0.5625,0.75,0.6428571428571429,0.25,14,27,21,9,63
ga,11,0.6153846153846154,0.6666666666666666,0.64,0.17857142857142858,14,24,15,12,69
ga,12,0.5625,0.75,0.6428571428571429,0.25,14,27,21,9,63
ga,13,0.6153846153846154,0.6666666666666666,0.64,0.17857142857142858,14,24,15,12,69
ga,14,0.6153846153846154,0.6666666666666666,0.64,0.17857142857142858,14,24,15,12,69
ga,15,0.6153846153846154,0.6666666666666666,0.64,0.17857142857142858,14,24,15,12,69
ga,16,0.6153846153846154,0.6666666666666666,0.64,0.17857142857142858,14,24,15,12,69
ga,17,0.6153846153846154,0.6666666666666666,0.64,0.17857142857142858,14,24,15,12,69
ga,18,0.6153846153846154,0.6666666666666666,0.64,0.17857142857142858,14,24,15,12,69
ga,19,0.5625,0.75,0.6428571428571429,0.25,14,27,21,9,63
nsga2,0,0.6,0.6666666666666666,0.631578947368421,0.19047619047619047,14,24,16,12,68
nsga2,1,0.6,0.6666666666666666,0.631578947368421,0.19047619047619047,14,24,16,12,68
nsga2,2,0.6,0.6666666666666666,0.631578947368421,0.19047619047619047,14,24,16,12,68
nsga2,3,0.6,0.6666666666666666,0.631578947368421,0.19047619047619047,14,24,16,12,68
nsga2,4,0.6,0.6666666666666666,0.631578947368421,0.19047619047619047,14,24,16,12,68
nsga2,5,0.6,0.6666666666666666,0.631578947368421,0.19047619047619047,14,24,16,12,68
nsga2,6,0.6,0.6666666666666666,0.631578947368421,0.19047619047619047,14,24,16,12,68
nsga2,7,0.6,0.6666666666666666,0.631578947368421,0.19047619047619047,14,24,16,12,68
nsga2,8,0.6,0.6666666666666666,0.631578947368421,0.19047619047619047,14,24,16,12,68
nsga2,9,0.6,0.6666666666666666,0.631578947368421,0.19047619047619047,14,24,16,12,68
nsga2,10,0.6,0.6666666666666666,0.631578947368421,0.19047619047619047,14,24,16,12,68
nsga2,11,0.6,0.6666666666666666,0.631578947368421,0.19047619047619047,14,24,16,12,68
nsga2,12,0.5625,0.75,0.6428571428571429,0.25,14,27,21,9,63
nsga2,13,0.6,0.6666666666666666,0.631578947368421,0.19047619047619047,14,24,16,12,68
nsga2,14,0.6,0.6666666666666666,0.631578947368421,0.19047619047619047,14,24,16,12,68
nsga2,15,0.6,0.6666666666666666,0.631578947368421,0.19047619047619047,14,24,16,12,68
nsga2,16,0.6,0.6666666666666666,0.631578947368421,0.19047619047619047,14,24,16,12,68
nsga2,17,0.6,0.6666666666666666,0.631578947368421,0.19047619047619047,14,24,16,12,68
nsga2,18,0.6,0.6666666666666666,0.631578947368421,0.19047619047619047,14,24,16,12,68
nsga2,19,0.6,0.6666666666666666,0.631578947368421,0.19047619047619047,14,24,16,12,68
